Predicted_Result, Real_result
7.478816,5.5
10.029445,1.3
9.818207,1.0
10.897003,34.6
13.743958,3.6
16.218956,16.9
7.2655044,1.2
10.084025,1.0
20.218294,0.0
21.23809,20.3
7.346122,0.9
5.543412,1.4
11.1822,1.1
7.3759046,2.6
12.289667,1.0
